Unnamed: 0,team_number,EPA,Qualification_matches_played
0,1,24.46666666666667,0
1,7,24.46666666666667,0
2,18,24.46666666666667,0
3,22,24.46666666666667,0
4,25,24.46666666666667,0
5,40,24.46666666666667,0
6,48,24.46666666666667,0
7,49,24.46666666666667,0
8,50,24.46666666666667,0
9,51,24.46666666666667,0
10,54,24.46666666666667,0
11,72,24.46666666666667,0
12,92,24.46666666666667,0
13,112,24.46666666666667,0
14,118,24.46666666666667,0
15,123,24.46666666666667,0
16,124,24.46666666666667,0
17,127,24.46666666666667,0
18,130,24.46666666666667,0
19,133,24.46666666666667,0
20,149,24.46666666666667,0
21,187,24.46666666666667,0
22,194,24.46666666666667,0
23,201,24.46666666666667,0
24,202,24.46666666666667,0
25,207,24.46666666666667,0
26,208,24.46666666666667,0
27,226,24.46666666666667,0
28,237,24.46666666666667,0
29,247,24.46666666666667,0
30,248,24.46666666666667,0
31,251,24.46666666666667,0
32,252,24.46666666666667,0
33,265,24.46666666666667,0
34,267,24.46666666666667,0
35,288,24.46666666666667,0
36,289,24.46666666666667,0
37,290,24.46666666666667,0
38,291,24.46666666666667,0
39,293,24.46666666666667,0
40,310,24.46666666666667,0
41,327,24.46666666666667,0
42,354,24.46666666666667,0
43,358,24.46666666666667,0
44,359,24.46666666666667,0
45,365,24.46666666666667,0
46,367,24.46666666666667,0
47,369,24.46666666666667,0
48,373,24.46666666666667,0
49,384,24.46666666666667,0
50,389,24.46666666666667,0
51,391,24.46666666666667,0
52,392,24.46666666666667,0
53,395,24.46666666666667,0
54,404,24.46666666666667,0
55,406,24.46666666666667,0
56,408,24.46666666666667,0
57,409,24.46666666666667,0
58,417,24.46666666666667,0
59,436,24.46666666666667,0
60,450,24.46666666666667,0
61,479,24.46666666666667,0
62,506,24.46666666666667,0
63,516,24.46666666666667,0
64,519,24.46666666666667,0
65,524,24.46666666666667,0
66,525,24.46666666666667,0
67,535,24.46666666666667,0
68,542,24.46666666666667,0
69,596,24.46666666666667,0
70,607,24.46666666666667,0
71,609,24.46666666666667,0
72,636,24.46666666666667,0
73,641,24.46666666666667,0
74,652,24.46666666666667,0
75,654,24.46666666666667,0
76,668,24.46666666666667,0
