,team_number,ELO,Qualification_matches_played
326,4848,1500,0
327,4849,1500,0
328,4859,1500,0
329,4885,1500,0
330,4886,1500,0
331,4890,1500,0
332,4894,1500,0
333,4895,1500,0
334,4897,1500,0
335,4902,1500,0
336,4906,1500,0
337,4914,1500,0
338,4921,1500,0
339,4924,1500,0
340,4933,1500,0
341,4936,1500,0
342,4943,1500,0
343,4946,1500,0
344,4947,1500,0
345,4949,1500,0
346,4950,1500,0
347,4951,1500,0
348,4957,1500,0
349,4962,1500,0
350,4964,1500,0
351,4965,1500,0
352,4969,1500,0
353,4970,1500,0
354,4982,1500,0
355,4991,1500,0
356,4992,1500,0
357,4995,1500,0
358,4997,1500,0
359,4998,1500,0
360,5009,1500,0
361,5011,1500,0
362,5014,1500,0
363,5015,1500,0
364,5017,1500,0
365,5020,1500,0
366,5026,1500,0
367,5037,1500,0
368,5039,1500,0
369,5040,1500,0
370,5044,1500,0
371,5053,1500,0
372,5060,1500,0
373,5062,1500,0
374,5063,1500,0
375,5064,1500,0
376,5070,1500,0
377,5072,1500,0
378,5086,1500,0
379,5094,1500,0
380,5095,1500,0
381,5100,1500,0
382,5105,1500,0
383,5108,1500,0
384,5110,1500,0
385,5115,1500,0
386,5118,1500,0
387,5119,1500,0
388,5125,1500,0
389,5126,1500,0
390,5131,1500,0
391,5136,1500,0
392,5140,1500,0
393,5141,1500,0
394,5143,1500,0
395,5153,1500,0
396,5155,1500,0
397,5158,1500,0
398,5159,1500,0
399,5161,1500,0
400,5175,1500,0
401,5178,1500,0
402,5187,1500,0
403,5188,1500,0
404,5189,1500,0
405,5196,1500,0
406,5198,1500,0
407,5199,1500,0
408,5206,1500,0
409,5214,1500,0
410,5218,1500,0
411,5223,1500,0
412,5225,1500,0
413,5227,1500,0
414,5233,1500,0
415,5237,1500,0
416,5243,1500,0
417,5248,1500,0
418,5250,1500,0
419,5262,1500,0
420,5270,1500,0
421,5273,1500,0
422,5276,1500,0
423,5283,1500,0
424,5285,1500,0
425,5289,1500,0
426,5290,1500,0
427,5291,1500,0
428,5292,1500,0
429,5300,1500,0
430,5309,1500,0
431,5319,1500,0
432,5320,1500,0
433,5321,1500,0
434,5325,1500,0
